lane,mean_queue_m,max_queue_m
leftW_A_0,26.26,73.04
rightE_A_0,18.59,36.06
topS_A_1,12.56,28.57
bottomN_A_1,12.6,28.55
bottomN_A_0,5.77,6.08
topS_A_0,5.75,6.06
rightE_A_1,5.58,6.04
:A_5_0,4.59,5.17
