lane,mean_queue_m,max_queue_m
320741895#0_0,5.75,5.75
-318210362_0,5.42,5.71
206579064#2_1,5.25,5.57
138624445#4_0,2.32,5.56
10735918#1_0,5.35,5.52
318210383#0_2,5.46,5.46
:5067394877_0_1,5.26,5.29
:5067394877_0_0,5.26,5.29
180239858#1_0,5.22,5.28
:3433831684_0_0,5.24,5.24
:3273797699_0_2,5.22,5.23
:5067394880_0_0,5.19,5.23
318210361#3_1,5.2,5.2
206889078_0,4.5,5.2
:1906766923_1_1,4.78,5.19
:5067394880_0_1,5.19,5.19
52036180#6_1,5.12,5.16
71960633#2_0,5.16,5.16
43660344_1,4.33,5.14
43660344_0,5.12,5.14
:671564384_19_0,2.57,5.14
-143308515_0,3.84,5.14
-461093310_0,5.13,5.13
:38918157_5_0,3.84,5.13
:1560223404_1_0,5.04,5.13
206889078_1,5.11,5.13
461093310_0,4.95,5.13
-142575699#4_0,4.43,5.13
461093309#0_0,2.56,5.12
142575700#9_0,3.41,5.12
-142575661#0_0,2.56,5.11
142575656#6_0,5.1,5.11
:1560223462_1_0,2.04,5.11
:1560223382_7_0,1.28,5.11
375685662#1_0,3.97,5.11
-81096583_0,3.83,5.11
318210386#2_0,3.83,5.11
-26991766#7_0,5.1,5.11
-143308527#0_0,1.7,5.1
-46480995_0,2.55,5.1
-52081075#0_0,4.08,5.1
204721579#6_1,5.1,5.1
-143308525_0,5.1,5.1
:1625633841_3_0,2.55,5.1
:1625633844_8_0,3.4,5.1
142575674#5_0,2.55,5.1
142575693#7_0,1.7,5.1
:5067394882_0_0,5.07,5.08
143308570_0,4.19,5.04
48298278#0_0,0.84,5.02
206579064#2_0,5.01,5.01
231626692#4_1,5.0,5.0
318210360#2_1,5.0,5.0
31050360#1_0,4.38,5.0
283006416#1_1,5.0,5.0
206579090#1_1,5.0,5.0
52243916#0_0,3.75,5.0
143308487_0,4.88,5.0
